,file,model_name,class,BBOX_x1,BBOX_y1,BBOX_x2,BBOX_y2,BBOX_h,BBOX_w,year,make,model,type
41,00042.jpg,Volkswagen Golf Hatchback 1991,191,28,61,622,371,311,595,1991,Volkswagen,Golf,Hatchback
42,00043.jpg,GMC Savana Van 2012,119,22,39,588,362,324,567,2012,GMC,Savana,Van
43,00044.jpg,BMW Z4 Convertible 2012,38,220,193,537,364,172,318,2012,BMW,Z4,Convertible
44,00045.jpg,Toyota Sequoia SUV 2012,186,12,108,489,297,190,478,2012,Toyota,Sequoia,SUV
45,00046.jpg,Audi TT RS Coupe 2012,25,28,80,759,466,387,732,2012,Audi,TT,Coupe
46,00047.jpg,Volvo 240 Sedan 1993,194,84,248,1102,899,652,1019,1993,Volvo,240,Sedan
47,00048.jpg,Rolls-Royce Phantom Sedan 2012,177,142,69,753,451,383,612,2012,Rolls-Royce,Phantom,Sedan
48,00049.jpg,Porsche Panamera Sedan 2012,173,166,543,887,903,361,722,2012,Porsche,Panamera,Sedan
49,00050.jpg,Bentley Continental GT Coupe 2012,42,20,96,564,341,246,545,2012,Bentley,Continental,Coupe
50,00051.jpg,Dodge Dakota Club Cab 2007,91,41,181,607,465,285,567,2007,Dodge,Dakota,Cab
51,00052.jpg,Jeep Grand Cherokee SUV 2012,148,39,29,774,395,367,736,2012,Jeep,Grand,SUV
52,00053.jpg,Audi R8 Coupe 2012,15,161,191,425,307,117,265,2012,Audi,R8,Coupe
53,00054.jpg,Dodge Charger SRT-8 2009,97,58,562,1528,1081,520,1471,2009,Dodge,Charger,SRT-8
54,00055.jpg,Bentley Continental GT Coupe 2012,42,80,120,582,391,272,503,2012,Bentley,Continental,Coupe
55,00056.jpg,Cadillac Escalade EXT Crew Cab 2007,53,32,48,472,267,220,441,2007,Cadillac,Escalade,Cab
56,00057.jpg,Bentley Continental Flying Spur Sedan 2007,44,260,138,972,439,302,713,2007,Bentley,Continental,Sedan
57,00058.jpg,Chevrolet Avalanche Crew Cab 2012,65,11,35,256,173,139,246,2012,Chevrolet,Avalanche,Cab
58,00059.jpg,Dodge Dakota Crew Cab 2010,90,68,91,607,354,264,540,2010,Dodge,Dakota,Cab
59,00060.jpg,HUMMER H3T Crew Cab 2010,124,129,120,345,269,150,217,2010,HUMMER,H3T,Cab
60,00061.jpg,Ford F-150 Regular Cab 2007,114,11,104,1011,742,639,1001,2007,Ford,F-150,Cab
61,00062.jpg,Volkswagen Golf Hatchback 2012,190,19,21,425,265,245,407,2012,Volkswagen,Golf,Hatchback
62,00063.jpg,Ferrari FF Coupe 2012,101,175,330,928,647,318,754,2012,Ferrari,FF,Coupe
63,00064.jpg,Toyota Camry Sedan 2012,187,97,39,925,700,662,829,2012,Toyota,Camry,Sedan
64,00065.jpg,Aston Martin V8 Vantage Convertible 2012,8,63,175,417,320,146,355,2012,Aston,Martin,Convertible
65,00066.jpg,Audi 100 Sedan 1994,17,30,39,221,125,87,192,1994,Audi,100,Sedan
66,00067.jpg,Ford Ranger SuperCab 2011,111,129,89,594,432,344,466,2011,Ford,Ranger,SuperCab
67,00068.jpg,GMC Canyon Extended Cab 2012,122,32,43,598,350,308,567,2012,GMC,Canyon,Cab
68,00069.jpg,Acura TSX Sedan 2012,5,142,124,675,445,322,534,2012,Acura,TSX,Sedan
69,00070.jpg,BMW 3 Series Sedan 2012,29,220,313,1054,976,664,835,2012,BMW,3,Sedan
70,00071.jpg,Honda Odyssey Minivan 2012,126,8,12,639,299,288,632,2012,Honda,Odyssey,Minivan
71,00072.jpg,Dodge Durango SUV 2012,94,92,271,1178,749,479,1087,2012,Dodge,Durango,SUV
72,00073.jpg,Ford F-450 Super Duty Crew Cab 2012,106,15,12,314,230,219,300,2012,Ford,F-450,Cab
73,00074.jpg,Ford F-450 Super Duty Crew Cab 2012,106,14,12,309,223,212,296,2012,Ford,F-450,Cab
74,00075.jpg,Toyota Corolla Sedan 2012,188,45,74,522,253,180,478,2012,Toyota,Corolla,Sedan
75,00076.jpg,Chevrolet Camaro Convertible 2012,59,12,27,284,166,140,273,2012,Chevrolet,Camaro,Convertible
76,00077.jpg,Ford Edge SUV 2012,110,25,25,3502,2017,1993,3478,2012,Ford,Edge,SUV
77,00078.jpg,Bentley Continental GT Coupe 2007,43,36,88,611,417,330,576,2007,Bentley,Continental,Coupe
78,00079.jpg,Hyundai Veracruz SUV 2012,133,165,126,749,425,300,585,2012,Hyundai,Veracruz,SUV
79,00080.jpg,Ford Ranger SuperCab 2011,111,20,21,292,217,197,273,2011,Ford,Ranger,SuperCab
80,00081.jpg,Aston Martin V8 Vantage Convertible 2012,8,10,55,540,271,217,531,2012,Aston,Martin,Convertible
81,00082.jpg,Volkswagen Beetle Hatchback 2012,192,63,113,597,413,301,535,2012,Volkswagen,Beetle,Hatchback
82,00083.jpg,Audi 100 Wagon 1994,18,55,48,294,205,158,240,1994,Audi,100,Wagon
83,00084.jpg,Ford E-Series Wagon Van 2012,116,27,67,620,474,408,594,2012,Ford,E-Series,Van
84,00085.jpg,Buick Verano Sedan 2012,49,15,80,629,402,323,615,2012,Buick,Verano,Sedan
85,00086.jpg,Jeep Patriot SUV 2012,145,119,300,1416,871,572,1298,2012,Jeep,Patriot,SUV
86,00087.jpg,Buick Verano Sedan 2012,49,17,36,455,215,180,439,2012,Buick,Verano,Sedan
87,00088.jpg,Nissan Juke Hatchback 2012,170,171,176,2373,1751,1576,2203,2012,Nissan,Juke,Hatchback
88,00089.jpg,Audi S6 Sedan 2011,20,49,195,1003,617,423,955,2011,Audi,S6,Sedan
89,00090.jpg,Ford F-150 Regular Cab 2007,114,5,43,296,211,169,292,2007,Ford,F-150,Cab
90,00091.jpg,Mercedes-Benz S-Class Sedan 2012,165,49,57,494,419,363,446,2012,Mercedes-Benz,S-Class,Sedan
91,00092.jpg,Hyundai Sonata Sedan 2012,138,101,84,492,272,189,392,2012,Hyundai,Sonata,Sedan
92,00093.jpg,Rolls-Royce Phantom Drophead Coupe Convertible 2012,175,23,53,258,144,92,236,2012,Rolls-Royce,Phantom,Convertible
93,00094.jpg,Ford GT Coupe 2006,112,19,60,783,440,381,765,2006,Ford,GT,Coupe
94,00095.jpg,GMC Canyon Extended Cab 2012,122,110,171,1213,648,478,1104,2012,GMC,Canyon,Cab
95,00096.jpg,Ferrari 458 Italia Coupe 2012,104,39,67,346,206,140,308,2012,Ferrari,458,Coupe
96,00097.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,57,3,7,76,50,44,74,2007,Chevrolet,Corvette,Z06
97,00098.jpg,Cadillac CTS-V Sedan 2012,51,65,37,578,360,324,514,2012,Cadillac,CTS-V,Sedan
98,00099.jpg,BMW X3 SUV 2012,37,27,60,486,364,305,460,2012,BMW,X3,SUV
99,00100.jpg,Chevrolet Express Van 2007,71,22,180,454,355,176,433,2007,Chevrolet,Express,Van
100,00101.jpg,Volvo C30 Hatchback 2012,193,70,39,940,742,704,871,2012,Volvo,C30,Hatchback
101,00102.jpg,Fisker Karma Sedan 2012,105,99,130,396,222,93,298,2012,Fisker,Karma,Sedan
102,00103.jpg,Chevrolet Impala Sedan 2007,61,85,107,609,381,275,525,2007,Chevrolet,Impala,Sedan
103,00104.jpg,Chevrolet Silverado 1500 Extended Cab 2012,74,1,76,480,315,240,480,2012,Chevrolet,Silverado,Cab
104,00105.jpg,Hyundai Veracruz SUV 2012,133,57,266,967,623,358,911,2012,Hyundai,Veracruz,SUV
105,00106.jpg,Mercedes-Benz C-Class Sedan 2012,162,69,75,236,161,87,168,2012,Mercedes-Benz,C-Class,Sedan
106,00107.jpg,Hyundai Santa Fe SUV 2012,131,24,17,249,163,147,226,2012,Hyundai,Santa,SUV
107,00108.jpg,Dodge Sprinter Cargo Van 2009,88,7,27,212,147,121,206,2009,Dodge,Sprinter,Van
108,00109.jpg,GMC Acadia SUV 2012,121,18,14,248,168,155,231,2012,GMC,Acadia,SUV
109,00110.jpg,Spyker C8 Coupe 2009,180,19,2,591,387,386,573,2009,Spyker,C8,Coupe
110,00111.jpg,Spyker C8 Coupe 2009,180,52,6,759,513,508,708,2009,Spyker,C8,Coupe
111,00112.jpg,Hyundai Genesis Sedan 2012,137,231,103,430,226,124,200,2012,Hyundai,Genesis,Sedan
112,00113.jpg,Hyundai Veracruz SUV 2012,133,91,148,700,582,435,610,2012,Hyundai,Veracruz,SUV
113,00114.jpg,Chevrolet Express Van 2007,71,19,72,624,397,326,606,2007,Chevrolet,Express,Van
114,00115.jpg,Dodge Caliber Wagon 2012,83,26,90,376,243,154,351,2012,Dodge,Caliber,Wagon
115,00116.jpg,Ford Edge SUV 2012,110,132,120,667,401,282,536,2012,Ford,Edge,SUV
116,00117.jpg,Bentley Continental GT Coupe 2012,42,84,44,663,342,299,580,2012,Bentley,Continental,Coupe
117,00118.jpg,Rolls-Royce Phantom Sedan 2012,177,87,235,591,412,178,505,2012,Rolls-Royce,Phantom,Sedan
118,00119.jpg,Jeep Liberty SUV 2012,147,173,370,1207,960,591,1035,2012,Jeep,Liberty,SUV
119,00120.jpg,Mercedes-Benz 300-Class Convertible 1993,161,3,19,195,114,96,193,1993,Mercedes-Benz,300-Class,Convertible
120,00121.jpg,Ford Expedition EL SUV 2009,109,49,143,487,455,313,439,2009,Ford,Expedition,SUV
121,00122.jpg,BMW 1 Series Coupe 2012,28,72,67,233,176,110,162,2012,BMW,1,Coupe
122,00123.jpg,Jaguar XK XKR 2012,144,151,568,1954,1271,704,1804,2012,Jaguar,XK,XKR
123,00124.jpg,Cadillac Escalade EXT Crew Cab 2007,53,14,88,271,178,91,258,2007,Cadillac,Escalade,Cab
124,00125.jpg,BMW 3 Series Sedan 2012,29,135,761,1894,1353,593,1760,2012,BMW,3,Sedan
125,00126.jpg,Chevrolet Cobalt SS 2010,66,44,123,778,487,365,735,2010,Chevrolet,Cobalt,SS
126,00127.jpg,Chrysler 300 SRT-8 2010,79,69,103,537,322,220,469,2010,Chrysler,300,SRT-8
127,00128.jpg,Audi A5 Coupe 2012,13,86,78,355,284,207,270,2012,Audi,A5,Coupe
128,00129.jpg,Hyundai Accent Sedan 2012,136,50,80,592,273,194,543,2012,Hyundai,Accent,Sedan
129,00130.jpg,Isuzu Ascender SUV 2008,143,95,161,543,368,208,449,2008,Isuzu,Ascender,SUV
130,00131.jpg,Nissan 240SX Coupe 1998,171,275,195,863,474,280,589,1998,Nissan,240SX,Coupe
131,00132.jpg,Dodge Journey SUV 2012,89,99,78,557,389,312,459,2012,Dodge,Journey,SUV
132,00133.jpg,Hyundai Elantra Sedan 2007,135,11,126,426,360,235,416,2007,Hyundai,Elantra,Sedan
133,00134.jpg,Mercedes-Benz 300-Class Convertible 1993,161,1,2,267,185,184,267,1993,Mercedes-Benz,300-Class,Convertible
134,00135.jpg,Chevrolet Traverse SUV 2012,58,19,735,2669,2192,1458,2651,2012,Chevrolet,Traverse,SUV
135,00136.jpg,GMC Canyon Extended Cab 2012,122,21,35,279,195,161,259,2012,GMC,Canyon,Cab
136,00137.jpg,Scion xD Hatchback 2012,178,45,99,593,403,305,549,2012,Scion,xD,Hatchback
137,00138.jpg,Chevrolet Corvette ZR1 2012,56,130,282,1425,900,619,1296,2012,Chevrolet,Corvette,ZR1
138,00139.jpg,Suzuki SX4 Sedan 2012,184,72,215,628,481,267,557,2012,Suzuki,SX4,Sedan
139,00140.jpg,Volkswagen Golf Hatchback 1991,191,62,95,633,434,340,572,1991,Volkswagen,Golf,Hatchback
140,00141.jpg,Bentley Arnage Sedan 2009,40,13,106,476,260,155,464,2009,Bentley,Arnage,Sedan
141,00142.jpg,Chevrolet HHR SS 2010,60,78,300,952,633,334,875,2010,Chevrolet,HHR,SS
142,00143.jpg,Land Rover LR2 SUV 2012,155,72,51,566,412,362,495,2012,Land,Rover,SUV
143,00144.jpg,Chevrolet Express Van 2007,71,66,59,283,202,144,218,2007,Chevrolet,Express,Van
144,00145.jpg,Hyundai Azera Sedan 2012,140,135,36,1181,885,850,1047,2012,Hyundai,Azera,Sedan
145,00146.jpg,Bentley Continental GT Coupe 2012,42,2,5,298,162,158,297,2012,Bentley,Continental,Coupe
146,00147.jpg,Chrysler Aspen SUV 2009,76,8,12,770,309,298,763,2009,Chrysler,Aspen,SUV
147,00148.jpg,Toyota Camry Sedan 2012,187,24,78,608,379,302,585,2012,Toyota,Camry,Sedan
148,00149.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,86,34,1,242,179,179,209,2010,Dodge,Ram,Cab
149,00150.jpg,Aston Martin V8 Vantage Convertible 2012,8,11,208,596,386,179,586,2012,Aston,Martin,Convertible
150,00151.jpg,Acura TSX Sedan 2012,5,8,37,294,150,114,287,2012,Acura,TSX,Sedan
151,00152.jpg,Buick Regal GS 2012,47,23,66,499,311,246,477,2012,Buick,Regal,GS
152,00153.jpg,BMW 3 Series Wagon 2012,30,6,138,627,361,224,622,2012,BMW,3,Wagon
153,00154.jpg,Audi 100 Wagon 1994,18,17,105,385,243,139,369,1994,Audi,100,Wagon
154,00155.jpg,Jeep Compass SUV 2012,149,76,4,1585,1120,1117,1510,2012,Jeep,Compass,SUV
155,00156.jpg,Ram C/V Cargo Van Minivan 2012,174,22,21,211,139,119,190,2012,Ram,C/V,Minivan
156,00157.jpg,Hyundai Sonata Sedan 2012,138,32,130,973,661,532,942,2012,Hyundai,Sonata,Sedan
157,00158.jpg,Spyker C8 Convertible 2009,179,75,236,1196,846,611,1122,2009,Spyker,C8,Convertible
158,00159.jpg,Audi S4 Sedan 2007,24,37,139,988,694,556,952,2007,Audi,S4,Sedan
159,00160.jpg,Bentley Continental GT Coupe 2012,42,114,46,546,287,242,433,2012,Bentley,Continental,Coupe
160,00161.jpg,Chevrolet Malibu Sedan 2007,73,12,83,629,354,272,618,2007,Chevrolet,Malibu,Sedan
161,00162.jpg,Rolls-Royce Ghost Sedan 2012,176,38,66,548,385,320,511,2012,Rolls-Royce,Ghost,Sedan
162,00163.jpg,AM General Hummer SUV 2000,1,46,84,661,428,345,616,2000,AM,General,SUV
163,00164.jpg,BMW X3 SUV 2012,37,13,29,239,174,146,227,2012,BMW,X3,SUV
164,00165.jpg,BMW M6 Convertible 2010,36,27,65,490,220,156,464,2010,BMW,M6,Convertible
165,00166.jpg,Ford Freestar Minivan 2007,108,4,69,402,245,177,399,2007,Ford,Freestar,Minivan
166,00167.jpg,Bentley Mulsanne Sedan 2011,41,19,27,429,258,232,411,2011,Bentley,Mulsanne,Sedan
167,00168.jpg,Bentley Arnage Sedan 2009,40,110,96,565,389,294,456,2009,Bentley,Arnage,Sedan
168,00169.jpg,GMC Savana Van 2012,119,2,22,140,81,60,139,2012,GMC,Savana,Van
169,00170.jpg,GMC Savana Van 2012,119,48,71,615,453,383,568,2012,GMC,Savana,Van
170,00171.jpg,Audi TT Hatchback 2011,19,41,42,262,170,129,222,2011,Audi,TT,Hatchback
171,00172.jpg,Mercedes-Benz SL-Class Coupe 2009,163,6,108,493,267,160,488,2009,Mercedes-Benz,SL-Class,Coupe
172,00173.jpg,GMC Yukon Hybrid SUV 2012,120,26,61,508,342,282,483,2012,GMC,Yukon,SUV
173,00174.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,54,13,29,249,159,131,237,2012,Chevrolet,Silverado,Cab
174,00175.jpg,Ford E-Series Wagon Van 2012,116,69,120,739,502,383,671,2012,Ford,E-Series,Van
175,00176.jpg,Chevrolet Cobalt SS 2010,66,45,85,1005,558,474,961,2010,Chevrolet,Cobalt,SS
176,00177.jpg,Buick Enclave SUV 2012,50,98,22,650,302,281,553,2012,Buick,Enclave,SUV
177,00178.jpg,GMC Canyon Extended Cab 2012,122,5,28,285,148,121,281,2012,GMC,Canyon,Cab
178,00179.jpg,Land Rover LR2 SUV 2012,155,42,113,601,439,327,560,2012,Land,Rover,SUV
179,00180.jpg,Infiniti QX56 SUV 2011,142,3,40,297,157,118,295,2011,Infiniti,QX56,SUV
180,00181.jpg,Chevrolet TrailBlazer SS 2009,68,84,256,913,752,497,830,2009,Chevrolet,TrailBlazer,SS
181,00182.jpg,Nissan Juke Hatchback 2012,170,43,226,1001,630,405,959,2012,Nissan,Juke,Hatchback
182,00183.jpg,Mercedes-Benz 300-Class Convertible 1993,161,2,9,196,125,117,195,1993,Mercedes-Benz,300-Class,Convertible
183,00184.jpg,Mercedes-Benz 300-Class Convertible 1993,161,34,51,604,344,294,571,1993,Mercedes-Benz,300-Class,Convertible
184,00185.jpg,Hyundai Veracruz SUV 2012,133,24,35,620,438,404,597,2012,Hyundai,Veracruz,SUV
185,00186.jpg,HUMMER H2 SUT Crew Cab 2009,125,6,72,255,178,107,250,2009,HUMMER,H2,Cab
186,00187.jpg,McLaren MP4-12C Coupe 2012,160,4,408,1600,934,527,1597,2012,McLaren,MP4-12C,Coupe
187,00188.jpg,Dodge Challenger SRT8 2011,93,25,162,1241,764,603,1217,2011,Dodge,Challenger,SRT8
188,00189.jpg,Suzuki SX4 Hatchback 2012,183,18,15,583,421,407,566,2012,Suzuki,SX4,Hatchback
189,00190.jpg,Bugatti Veyron 16.4 Convertible 2009,45,198,416,1271,935,520,1074,2009,Bugatti,Veyron,Convertible
190,00191.jpg,Isuzu Ascender SUV 2008,143,129,75,654,422,348,526,2008,Isuzu,Ascender,SUV
191,00192.jpg,Toyota 4Runner SUV 2012,189,37,24,259,212,189,223,2012,Toyota,4Runner,SUV
192,00193.jpg,Buick Rainier SUV 2007,48,82,107,990,723,617,909,2007,Buick,Rainier,SUV
193,00194.jpg,Rolls-Royce Ghost Sedan 2012,176,187,327,1211,769,443,1025,2012,Rolls-Royce,Ghost,Sedan
194,00195.jpg,Chrysler Sebring Convertible 2010,77,150,339,1313,771,433,1164,2010,Chrysler,Sebring,Convertible
195,00196.jpg,Volkswagen Golf Hatchback 2012,190,26,46,266,213,168,241,2012,Volkswagen,Golf,Hatchback
196,00197.jpg,Ford Edge SUV 2012,110,47,102,492,371,270,446,2012,Ford,Edge,SUV
197,00198.jpg,Acura Integra Type R 2001,6,91,121,574,357,237,484,2001,Acura,Integra,R
198,00199.jpg,Volkswagen Golf Hatchback 1991,191,151,298,1285,835,538,1135,1991,Volkswagen,Golf,Hatchback
199,00200.jpg,Audi V8 Sedan 1994,16,30,55,301,187,133,272,1994,Audi,V8,Sedan
200,00201.jpg,Audi RS 4 Convertible 2008,12,21,1,386,200,200,366,2008,Audi,RS,Convertible
201,00202.jpg,Dodge Dakota Crew Cab 2010,90,233,217,1228,807,591,996,2010,Dodge,Dakota,Cab
202,00203.jpg,Toyota Corolla Sedan 2012,188,30,167,945,545,379,916,2012,Toyota,Corolla,Sedan
203,00204.jpg,Honda Accord Coupe 2012,128,11,61,284,151,91,274,2012,Honda,Accord,Coupe
204,00205.jpg,Audi S4 Sedan 2012,23,29,70,612,356,287,584,2012,Audi,S4,Sedan
205,00206.jpg,Aston Martin Virage Coupe 2012,11,117,222,558,434,213,442,2012,Aston,Martin,Coupe
206,00207.jpg,Dodge Challenger SRT8 2011,93,31,119,438,258,140,408,2011,Dodge,Challenger,SRT8
207,00208.jpg,Aston Martin V8 Vantage Convertible 2012,8,26,151,360,256,106,335,2012,Aston,Martin,Convertible
208,00209.jpg,Chevrolet Sonic Sedan 2012,63,58,136,973,636,501,916,2012,Chevrolet,Sonic,Sedan
209,00210.jpg,Porsche Panamera Sedan 2012,173,8,80,639,366,287,632,2012,Porsche,Panamera,Sedan
210,00211.jpg,Rolls-Royce Ghost Sedan 2012,176,11,47,598,365,319,588,2012,Rolls-Royce,Ghost,Sedan
211,00212.jpg,Chevrolet Monte Carlo Coupe 2007,72,8,20,254,155,136,247,2007,Chevrolet,Monte,Coupe
212,00213.jpg,Volvo XC90 SUV 2007,195,37,62,261,191,130,225,2007,Volvo,XC90,SUV
213,00214.jpg,Ford F-150 Regular Cab 2007,114,70,78,915,640,563,846,2007,Ford,F-150,Cab
214,00215.jpg,Chevrolet Monte Carlo Coupe 2007,72,38,50,221,138,89,184,2007,Chevrolet,Monte,Coupe
215,00216.jpg,GMC Savana Van 2012,119,21,45,133,88,44,113,2012,GMC,Savana,Van
216,00217.jpg,Audi 100 Wagon 1994,18,45,39,594,444,406,550,1994,Audi,100,Wagon
217,00218.jpg,Chrysler Sebring Convertible 2010,77,39,94,337,245,152,299,2010,Chrysler,Sebring,Convertible
218,00219.jpg,Audi 100 Wagon 1994,18,89,1,597,316,316,509,1994,Audi,100,Wagon
219,00220.jpg,Ford Mustang Convertible 2007,107,16,103,462,347,245,447,2007,Ford,Mustang,Convertible
220,00221.jpg,Aston Martin Virage Convertible 2012,10,29,21,477,299,279,449,2012,Aston,Martin,Convertible
221,00222.jpg,smart fortwo Convertible 2012,196,89,58,545,338,281,457,2012,smart,fortwo,Convertible
222,00223.jpg,FIAT 500 Abarth 2012,99,42,115,299,288,174,258,2012,FIAT,500,Abarth
223,00224.jpg,Dodge Sprinter Cargo Van 2009,88,19,10,177,134,125,159,2009,Dodge,Sprinter,Van
224,00225.jpg,GMC Acadia SUV 2012,121,20,50,463,313,264,444,2012,GMC,Acadia,SUV
225,00226.jpg,Ford Ranger SuperCab 2011,111,46,15,202,156,142,157,2011,Ford,Ranger,SuperCab
226,00227.jpg,Chevrolet Impala Sedan 2007,61,36,63,613,397,335,578,2007,Chevrolet,Impala,Sedan
227,00228.jpg,Infiniti G Coupe IPL 2012,141,237,156,896,365,210,660,2012,Infiniti,G,IPL
228,00229.jpg,Hyundai Accent Sedan 2012,136,5,46,255,138,93,251,2012,Hyundai,Accent,Sedan
229,00230.jpg,Suzuki SX4 Hatchback 2012,183,223,542,3692,2478,1937,3470,2012,Suzuki,SX4,Hatchback
230,00231.jpg,Ford F-450 Super Duty Crew Cab 2012,106,73,109,606,374,266,534,2012,Ford,F-450,Cab
231,00232.jpg,Dodge Caliber Wagon 2007,84,15,110,544,381,272,530,2007,Dodge,Caliber,Wagon
232,00233.jpg,Volvo 240 Sedan 1993,194,276,124,1495,951,828,1220,1993,Volvo,240,Sedan
233,00234.jpg,Hyundai Tucson SUV 2012,132,99,364,1211,954,591,1113,2012,Hyundai,Tucson,SUV
234,00235.jpg,Ford Ranger SuperCab 2011,111,59,63,549,404,342,491,2011,Ford,Ranger,SuperCab
235,00236.jpg,Acura ZDX Hatchback 2012,7,19,138,571,424,287,553,2012,Acura,ZDX,Hatchback
236,00237.jpg,Chevrolet Avalanche Crew Cab 2012,65,11,10,396,265,256,386,2012,Chevrolet,Avalanche,Cab
237,00238.jpg,BMW ActiveHybrid 5 Sedan 2012,26,163,91,527,346,256,365,2012,BMW,ActiveHybrid,Sedan
238,00239.jpg,Audi V8 Sedan 1994,16,4,19,255,172,154,252,1994,Audi,V8,Sedan
239,00240.jpg,Hyundai Sonata Sedan 2012,138,45,60,251,171,112,207,2012,Hyundai,Sonata,Sedan
240,00241.jpg,Nissan Juke Hatchback 2012,170,32,59,1011,709,651,980,2012,Nissan,Juke,Hatchback
